"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R1";"SMW212RJT";1;"R";;;
2;"Q1,Q2";"BC547B";2;"Q_NPN_CBE";;;
3;"R2,R3";"R_0603_1608Metric";2;"430Ω";;;
4;"K1";"FH44L-1AT-L2-DC3V";1;"HF163-F";;;
5;"C11";"CP_Elec_10x14.3";1;"12uF";;;
6;"D2,D1";"D_SOD-323";2;"1N4148";;;
7;"CY1";"CC1808KKX7RCBB102";1;"1nF";;;
8;"U1";"PBO-3C-3";1;"PBO-3C-3";;;
9;"J2";"Conn_C8269";1;"ON/OFF switch";;;
10;"J1";"Conn_C8269";1;"AC MAINS POWER";;;
11;"C2";"CP_Radial_D10.0mm_P5.00mm";1;"470uF";;;
12;"F1";"0443001.DR";1;"Fuse";;;
13;"L1";"IND_BRL3225T4R7M";1;"L";;;
14;"C3";"CP_Elec_10x10";1;"C 150uF";;;
15;"J3";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
