Ref,Val,Package,PosX,PosY,Rot,Side
"C2","470uF","CP_Radial_D10.0mm_P5.00mm",117.622323,-72.030000,0.000000,top
"C3","C 150uF","CP_Elec_10x10",127.510000,-81.730000,0.000000,top
"C11","12uF","CP_Elec_10x14.3",142.560000,-88.260000,90.000000,top
"CY1","1nF","CC1808KKX7RCBB102",136.950000,-81.150000,0.000000,top
"D1","1N4148","D_SOD-323",121.810000,-103.000000,-90.000000,top
"D2","1N4148","D_SOD-323",121.810000,-97.740000,90.000000,top
"F1","Fuse","0443001.DR",150.380000,-86.810000,90.000000,top
"J1","AC MAINS POWER","Conn_C8269",157.700000,-86.300000,90.000000,top
"J2","ON/OFF switch","Conn_C8269",152.870000,-98.730000,47.000000,top
"K1","HF163-F","FH44L-1AT-L2-DC3V",126.570000,-101.600000,90.000000,top
"L1","L","IND_BRL3225T4R7M",116.580000,-80.370000,-90.000000,top
"Q1","Q_NPN_CBE","BC547B",132.760000,-94.000000,90.000000,top
"Q2","Q_NPN_CBE","BC547B",127.000000,-93.980000,90.000000,top
"R1","R","SMW212RJT",152.300000,-78.450000,180.000000,top
"R2","430Ω","R_0603_1608Metric",121.920000,-93.980000,180.000000,top
"R3","430Ω","R_0603_1608Metric",121.920000,-91.440000,180.000000,top
"U1","PBO-3C-3","PBO-3C-3",151.249999,-72.920000,180.000000,top
