Ref,Val,Package,PosX,PosY,Rot,Side
"C1","12uF","CP_Elec_10x14.3",142.000000,-88.882500,-90.000000,top
"C2","470uF","CP_Radial_D10.0mm_P5.00mm",118.580000,-66.640000,-90.000000,top
"C3","C 150uF","CP_Elec_10x10",130.280000,-88.460000,90.000000,top
"C11","12uF","CP_Elec_10x14.3",153.750000,-88.882500,-90.000000,top
"CY1","1nF","CC1808KKX7RCBB102",135.450000,-81.100000,0.000000,top
"D1","1N4148","D_SOD-323",134.680000,-96.140000,0.000000,top
"D2","1N4148","D_SOD-323",134.680000,-110.640000,0.000000,top
"F1","Fuse","0443001.DR",161.620000,-80.530000,-90.000000,top
"J1","AC MAINS POWER","1729128-screw-terminal",158.990000,-71.420000,90.000000,top
"J2","ON/OFF switch","1729128-screw-terminal",117.140000,-98.440000,-90.000000,top
"K1","HF163-F","HF163FL24HL2T",145.990000,-99.670000,180.000000,top
"L1","L","SMDRI127-470MT",117.840000,-82.620000,-90.000000,top
"Q1","Q_NPN_CBE","BC547B",154.750000,-100.130000,180.000000,top
"Q2","Q_NPN_CBE","BC547B",151.520000,-105.720000,-90.000000,top
"R1","R","SMW212RJT",154.750000,-77.850000,180.000000,top
"U1","PBO-3C-3","PBO-3C-3",151.499999,-72.000000,180.000000,top
