Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.600000,-85.200000,90.000000,top
"C2","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.512500,-83.050000,0.000000,top
"C3","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.550000,-85.000000,90.000000,top
"C4","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.750000,-85.650000,180.000000,top
"C5","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.100000,-90.800000,180.000000,top
"C6","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.100000,-69.962500,90.000000,top
"C7","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.100000,-96.000000,180.000000,top
"C8","1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.300000,-86.100000,90.000000,top
"C9","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.400000,-71.000000,-90.000000,top
"C10","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.700000,-88.500000,180.000000,top
"C11","4.7uF 50V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",156.587500,-88.500000,0.000000,top
"C12","4.7uF","C_0603_1608Metric",152.625000,-99.050000,0.000000,top
"C13","100nF","C_0805_2012Metric",127.700000,-112.300000,0.000000,top
"C14","10uF","C_0805_2012Metric",131.400000,-120.400000,-90.000000,top
"C15","10uF","C_0805_2012Metric",117.850000,-110.200000,180.000000,top
"C16","C_Polarized 100uF","CP_EIA-3528-21_Kemet-B",157.162500,-123.270000,0.000000,top
"C17","220uF","CP_EIA-3528-21_Kemet-B",129.600000,-78.800000,180.000000,top
"C18","220uF","CP_EIA-3528-21_Kemet-B",134.700000,-78.800000,0.000000,top
"C19","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",128.120000,-110.180000,180.000000,top
"D1","MBR0530","D_SOD-123",154.150000,-90.850000,180.000000,top
"D2","MBR0530","D_SOD-123",156.550000,-93.950000,180.000000,top
"D3","MBR0530","D_SOD-123",151.650000,-93.450000,0.000000,top
"D4","1N5819WS","D_SOD-323",137.471501,-72.370000,90.000000,top
"J1","AFC24-S24FIC-00","AFC24-S24FIC-00",146.350000,-77.700000,180.000000,top
"J2","USB_C_Programming","USB_C_Receptacle_HRO_TYPE-C-31-M-12",124.800000,-120.750000,0.000000,top
"J4","Conn_01x06_Female","FH34SRJ-6S-0.5SH50-Hirose",119.400000,-89.000000,180.000000,top
"JP1","RESE","switch-MK-12C02-G020",130.350000,-94.530000,0.000000,top
"L1","10uH","SWPA4030S1R0NT",156.650000,-98.050000,-90.000000,top
"Q1","Si1308","SOT-323_SC-70",138.650000,-86.500000,0.000000,top
"Q2","BC817","SOT-23",154.650000,-119.850000,180.000000,top
"Q3","BC817","SOT-23",149.300000,-102.240000,180.000000,top
"R1","10K","R_0603_1608Metric",134.900000,-85.850000,180.000000,top
"R2","10 K","R_0603_1608Metric",158.155000,-120.820000,180.000000,top
"R3","3R","R_0603_1608Metric",135.300000,-89.530000,0.000000,top
"R4","10 K","R_0603_1608Metric",158.910000,-118.490000,-90.000000,top
"R5","10 K","R_0603_1608Metric",152.920000,-103.210000,180.000000,top
"R6","5.1K","R_0603_1608Metric",117.650000,-120.750000,-90.000000,top
"R7","5.1K","R_0603_1608Metric",127.500000,-114.100000,0.000000,top
"R8","4.7K","R_0603_1608Metric",155.000000,-115.850000,90.000000,top
"R9","4.7K","R_0603_1608Metric",121.025000,-95.820000,0.000000,top
"R10","3.6K","R_0603_1608Metric",118.825000,-94.200000,180.000000,top
"R11","0.47R","R_0603_1608Metric",128.950000,-90.550000,0.000000,top
"R12","10 K","R_0603_1608Metric",123.150000,-88.350000,-90.000000,top
"R13","1K","R_0603_1608Metric",129.510000,-107.300000,90.000000,top
"R14","22K","R_0201_0603Metric",129.480000,-105.220000,0.000000,top
"R15","47K","R_0402_1005Metric",129.260000,-103.920000,-90.000000,top
"U2","CP2102N-A02-GQFN28R","CP2102-QFN50P500X500X80-29N-D",125.150000,-105.725000,90.000000,top
"U3","MCP1700-3302E_SOT23","SOT-23",121.700000,-113.062500,-90.000000,top
"U4","DS3231MZ","SOIC-8_3.9x4.9mm_P1.27mm",127.850000,-85.500000,0.000000,top
